ESNERR_StCode,Region,Date,AvgOfTime,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),AvgOfpH,DO SAT %,DO mg/L,Turb (NTU),Chl (ug/L),Floating Algae % Cover,Ammonia as N mg/L,Umol Ammonia,Nitrate as N (mg/L),Umol Nitrate,Nitrite as N (mg/L),MLML Nitrate mg/L,MCCL Phosphate (mg/L),Umol Phosphate,total Nitrogen,Free Ammonia (mg/L),Lab Chl a (ug/L)
CC,Upper Slough,1/20/1990,0.52,36.8601,-121.7401,12.00,13.10,6.37,,4.70,35.00,,,0.62,43.95,0.81,58.11,0.00,,0.50,16.01,,0.00,0.00
HLE,Upper Slough,1/20/1990,0.50,36.8563,-121.7549,9.50,16.00,6.72,,6.10,7.50,,,0.82,58.68,0.82,58.90,0.00,,0.00,0.01,,0.00,0.00
HLW,Upper Slough,1/20/1990,0.51,36.8565,-121.755,10.00,18.90,6.88,,5.50,15.00,,,0.64,45.53,0.46,33.08,0.00,,0.00,0.01,,0.00,0.00
JR,Lower Slough,1/20/1990,0.63,36.8171,-121.7871,13.50,26.00,8.16,,8.70,5.70,,,0.11,8.16,0.14,9.97,0.00,,0.15,4.93,,0.00,0.00
KP,Upper Slough,1/20/1990,0.49,36.8398,-121.7437,9.30,23.00,7.47,,6.50,5.00,,,0.13,9.47,0.14,10.26,0.00,,0.10,3.11,,0.00,0.00
MCS,Lower Slough,1/20/1990,0.59,36.7963,-121.7832,18.80,18.80,8.64,,12.00,8.50,,,0.04,2.89,0.17,12.13,0.00,,0.09,2.85,,0.01,0.00
PRN,Tembladero Slough,1/20/1990,0.67,36.7908,-121.7904,11.20,5.90,7.47,,5.60,24.00,,,0.44,31.26,10.73,766.50,0.00,,0.52,16.71,,0.00,0.00
PRS,Tembladero Slough,1/20/1990,0.68,36.7904,-121.7907,11.50,5.00,7.78,,5.50,22.00,,,0.42,29.94,11.62,829.89,0.00,,0.33,10.60,,0.01,0.00
RBR,Reserve,1/20/1990,0.45,36.8199,-121.7371,10.90,25.60,7.86,,7.60,4.50,,,0.06,4.58,0.04,3.01,0.00,,0.04,1.19,,0.00,0.00
RNM,Reserve,1/20/1990,0.48,36.8364,-121.7323,10.10,25.90,7.42,,7.10,7.50,,,0.18,13.16,0.06,4.24,0.00,,0.00,0.01,,0.00,0.00
RSM,Reserve,1/20/1990,0.45,36.824,-121.74,10.00,25.50,7.17,,7.60,3.50,,,0.21,15.26,0.11,7.83,0.00,,0.01,0.46,,0.00,0.00
SKL,Lower Slough,1/20/1990,0.41,36.8106,-121.7864,12.20,24.90,7.70,,6.20,6.00,,,0.13,9.21,0.11,7.81,0.00,,0.04,1.30,,0.00,0.00
SP,Lower Slough,1/20/1990,0.60,36.8247,-121.7774,14.50,12.00,7.16,,0.70,17.00,,,0.45,32.20,0.03,2.25,0.00,,0.82,26.44,,0.00,0.00
SRB,Salinas River,1/20/1990,0.66,36.7321,-121.7807,13.90,3.20,7.53,,4.30,10.00,,,0.62,44.20,8.08,577.35,0.00,,0.25,7.95,,0.01,0.00
SRL,Salinas River,1/20/1990,0.65,36.748,-121.7835,12.00,6.00,7.90,,5.80,11.00,,,0.25,18.16,2.43,173.53,0.00,,0.14,4.43,,0.00,0.00
BSE,Lower Slough,2/25/1990,0.62,36.8215,-121.7834,15.80,21.80,7.60,,4.70,4.50,,,0.26,18.32,0.04,2.65,0.00,,0.55,17.61,,0.00,0.00
